STT,Tuổi,Giới Tính,Năm Kinh Nghiệm,Trình Độ,Ngành,Ngoại Ngữ,Tin Học,Vị Trí Công Việc,Dự đoán
1,30,2,1,"Sơ cấp, không bằng",Công nhân, , ,Ứng Viên Xin Công Nhân,Công Nhân
2,29,2,1,Đại học,Kế Toán Trưởng,Tiếng Anh A,Tin văn phòng,Đơn Xin Ứng Cử Vị Trí Kcs,Quản Lý
3,29,1,1,"Sơ cấp, không bằng", , ,Tin học B,Tìm Việc Lái Xe,Công Nhân
4,39,1,8,Đại học,Công Nghệ Thông Tin,Tiếng Anh B,Tin học C,Ứng Viên Xin Quảng Trị Mạng,Công Nghệ Thông Tin
5,46,1,6,Đại học,Kế Toán,Tiếng Anh A,Tin học A,"Ứng Viên Kế Toán Trưởng, Tổng Hợp",Kế Toán
6,34,1,3,Đại học,Kỹ Thuật Máy Tính,Tiếng Anh B,Kỹ thuật viên tin học,Ứng Tuyển Việc Làm,Công Nghệ Thông Tin
7,28,2,1,Cao đẳng,Hành chính,Tiếng Anh B,Tin học B,Ứng Tuyển Nhân Viên Nhân Sự/Thư Ký/Trợ Lý/Văn Phòng/Hỗ Trợ Kinh Doanh/...(Quản Trị Kinh Doanh),Nhân Viên Nhân Sự
8,37,1,6,"Sơ cấp, không bằng",Lái Xe, , ,Ứng Viên Lái Xe Dấu D,Lái Xe
9,34,1,1,"Sơ cấp, không bằng",Lái Xe Nâng, , ,Ứng Viên Xin Lái Xe Nâng,Lái Xe
10,29,1,3,Sơ cấp,Lái Xe B2,Tiếng Nhật,Tin học A,Tài Xế B2,Lái Xe
11,28,1,0,"Sơ cấp, không bằng", , , ,Ứng Viên Bảo Trì Máy May,Công Nhân
12,32,1,2,Đại học,Kế Toán Trưởng,Tiếng Anh B,Tin học A,Nhân Viên Quản Lý Sản Xuất,Quản Lý
13,32,1,1,"Sơ cấp, không bằng",Công nhân, , ,Ứng Viên Xin Công Nhân,Công Nhân
14,31,2,3,Trung cấp, , ,Tin học A,Đơn Tuyển Dụng,Nhân Viên Văn Phòng
15,45,2,6,Trung cấp, , , ,Ứng Viên Qc Ngành May,Công Nhân
16,30,2,3,Cao đẳng,Kế Toán,Tiếng Anh A,Tin căn bản,Ứng Tuyển Nhân Viên Kế Toán,Kế Toán
17,37,2,4,Đại học, ,Tiếng Anh A,Tin văn phòng,Kế Toán,Nhân Viên Văn Phòng
18,30,2,2,Đại học,Kế Toán, , ,Ứng Viên Kế Toán,Kế Toán
19,31,2,2,Đại học,Kế Toán,Tiếng Anh B,Tin học A,"Ứng Viên Kế Toán, Nhân Sự, Xuất Nhập Khẩu",Kế Toán
